TSLA,GOOG,META,AAPL,MSFT,AMZN,NVDA,V,ORCL,CSCO
104950500,42007014,92502000,390275200,56876800,323604000,31360000,38239200,11647800,25087300
105630000,66710653,107758000,669485600,50610200,289596000,22678800,24263200,20141200,36817100
86686500,53981801,75557000,337377600,29636200,130186000,17130000,12760000,14996300,14582400
66609000,35023895,76093000,456640800,35458700,81772000,30574000,12145600,16480900,23979300
81598500,38110345,82429000,244048000,28787400,86572000,19810400,14273200,13945500,17463700
61302000,33770463,54189000,191514400,43416600,79902000,15637600,10908800,10710100,18757000
77205000,20482080,46057000,287067200,22460900,50398000,23926000,13792800,13722700,17859200
84550500,33780490,55901000,374564400,27112400,93646000,41618800,10873200,12647500,21815200
152689500,64486563,78587000,282864400,41744500,140304000,29390000,14732000,12570400,38895200
300849000,40426688,61251000,230297200,32120400,76964000,43272800,14613600,10212900,32181400
127428000,48789585,52584000,291597600,29647600,81260000,53953200,11795600,10262400,22593900
105034500,38250730,48575000,213208800,22782600,74592000,29985600,8732800,18751400,40216100
